h,overlap,overlap_err
1.000000e+00,9.999206e-01,1.250040e-05
1.400000e+00,9.998509e-01,2.108623e-05
1.500000e+00,9.998196e-01,3.160896e-05
2.000000e+00,9.995085e-01,1.532486e-04
2.500000e+00,9.996128e-01,3.677466e-05
3.000000e+00,9.997129e-01,1.055274e-04
3.500000e+00,9.997218e-01,3.507519e-05
4.000000e+00,9.998075e-01,1.099525e-05
4.500000e+00,9.997789e-01,3.557368e-05
