h,overlap,seed,model_file
1.000000e+00,9.999143e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.400000e+00,9.998478e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.500000e+00,9.998196e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.000000e+00,9.995085e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.500000e+00,9.996080e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.000000e+00,9.997129e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.500000e+00,9.997218e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.000000e+00,9.997929e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.500000e+00,9.997789e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
