h,l,s2,s2_err,type
0.5,1,0.6268235842386881,0.00328509754797689,support
0.5,2,0.6875263373057048,0.002303191323401425,support
0.5,3,0.6952606519063314,0.002316412385444795,support
0.5,4,0.6961084365844726,0.0023296560004550442,support
0.5,5,0.6959938208262125,0.0023015181975967317,support
0.5,6,0.6964368184407552,0.0023133883110149013,support
0.5,7,0.6966547012329102,0.0022754968275303634,support
0.5,8,0.6962927500406901,0.002350809299018341,support
0.55,1,0.614748764038086,0.003064449996381206,interpolated
0.55,2,0.6841849009195964,0.003323671112627407,interpolated
0.55,3,0.6961357752482097,0.0022581331563769733,interpolated
0.55,4,0.6982409636179606,0.0020107012783247267,interpolated
0.55,5,0.6983511130015055,0.0020623345235115604,interpolated
0.55,6,0.6992000579833985,0.0021056013952390515,interpolated
0.55,7,0.6993079503377279,0.0020358712668186144,interpolated
0.55,8,0.6992487430572509,0.0020326035331069883,interpolated
0.6000000000000001,1,0.5983375867207845,0.0034819921587905165,interpolated
0.6000000000000001,2,0.680279541015625,0.002452855714914083,interpolated
0.6000000000000001,3,0.6941815376281738,0.002393636338628563,interpolated
0.6000000000000001,4,0.696866242090861,0.002466712074678209,interpolated
0.6000000000000001,5,0.6974186102549235,0.0024081840790014424,interpolated
0.6000000000000001,6,0.6979410966237386,0.0024326795272580156,interpolated
0.6000000000000001,7,0.698394775390625,0.002337209916571883,interpolated
0.6000000000000001,8,0.6985936164855957,0.0023188355024283945,interpolated
0.6500000000000001,1,0.5813652674357096,0.00391943766492997,interpolated
0.6500000000000001,2,0.6756119728088379,0.0026325489838770447,interpolated
0.6500000000000001,3,0.6961631615956624,0.0026766428858204447,interpolated
0.6500000000000001,4,0.7008049329121907,0.002698708088323456,interpolated
0.6500000000000001,5,0.7022296746571859,0.002795772284365722,interpolated
0.6500000000000001,6,0.7029941082000732,0.0028171319404910224,interpolated
0.6500000000000001,7,0.7034680366516113,0.0027592634042462004,interpolated
0.6500000000000001,8,0.7038134892781576,0.0028037916934940716,interpolated
0.7000000000000002,1,0.5515007654825846,0.0037169889252163793,interpolated
0.7000000000000002,2,0.6539496103922526,0.004058991417712422,interpolated
0.7000000000000002,3,0.6846919218699138,0.0024372784613542788,interpolated
0.7000000000000002,4,0.6930018742879231,0.002364219158014058,interpolated
0.7000000000000002,5,0.6955677191416423,0.00238709854851841,interpolated
0.7000000000000002,6,0.6984908898671468,0.002298195201390459,interpolated
0.7000000000000002,7,0.7005500793457031,0.002415673974426335,interpolated
0.7000000000000002,8,0.6999568780263264,0.002313578285046834,interpolated
0.7500000000000002,1,0.5352401256561279,0.003663199249630676,interpolated
0.7500000000000002,2,0.6458021481831868,0.003704030750089773,interpolated
0.7500000000000002,3,0.6842316150665283,0.003297726810500928,interpolated
0.7500000000000002,4,0.6982155958811442,0.0026179470828417545,interpolated
0.7500000000000002,5,0.7044601917266846,0.002243411541460194,interpolated
0.7500000000000002,6,0.7086880842844645,0.0023541096271205504,interpolated
0.7500000000000002,7,0.7101052284240723,0.0025511986702577262,interpolated
0.7500000000000002,8,0.7082524140675862,0.0026893415721516087,interpolated
0.8,1,0.5041136900583904,0.0031403870140204694,support
0.8,2,0.6162725766499837,0.004972782255624999,support
0.8,3,0.669138511021932,0.0028111575716876294,support
0.8,4,0.6882052580515544,0.0022094801286870183,support
0.8,5,0.693483543395996,0.0025943396675408566,support
0.8,6,0.7009968916575114,0.002433690503281785,support
0.8,7,0.7049710273742675,0.002292085395410167,support
0.8,8,0.7044898351033528,0.0023851393787613375,support
0.8500000000000003,1,0.47264191309611003,0.0038110785092752915,interpolated
0.8500000000000003,2,0.5974421183268229,0.004713969584435047,interpolated
0.8500000000000003,3,0.6475862026214599,0.006819210358670662,interpolated
0.8500000000000003,4,0.6827940781911214,0.003480710111746282,interpolated
0.8500000000000003,5,0.6949279308319092,0.0032741672359715567,interpolated
0.8500000000000003,6,0.7028170108795166,0.003753790392127,interpolated
0.8500000000000003,7,0.7118106047312419,0.0033485712707245026,interpolated
0.8500000000000003,8,0.708636490503947,0.003385782287203953,interpolated
0.9000000000000004,1,0.4379243532816569,0.002279103478354689,interpolated
0.9000000000000004,2,0.5592390537261963,0.003555990465737324,interpolated
0.9000000000000004,3,0.6225717703501383,0.0043316920288268045,interpolated
0.9000000000000004,4,0.6536887168884278,0.003042904092138762,interpolated
0.9000000000000004,5,0.6629997253417969,0.010548282210873573,interpolated
0.9000000000000004,6,0.6813019752502442,0.003078556693756047,interpolated
0.9000000000000004,7,0.6914162158966064,0.002550096754771854,interpolated
0.9000000000000004,8,0.6861470381418864,0.003474828208366764,interpolated
0.95,1,0.39399763743082683,0.002676666083806544,support
0.95,2,0.5033683141072591,0.0034351378922709407,support
0.95,3,0.5669409592946371,0.003279395937791486,support
0.95,4,0.6079464594523112,0.002666483139353053,support
0.95,5,0.6319899400075276,0.0034282658248102308,support
0.95,6,0.6380546887715658,0.004347183770899726,support
0.95,7,0.6473307927449544,0.004701777060848945,support
0.95,8,0.6479297955830892,0.0040245064392462355,support
1.0,1,0.3499185562133789,0.002649528679970072,support
1.0,2,0.45720427831014,0.0026295416186799506,support
1.0,3,0.5053926308949789,0.002339870239606158,support
1.0,4,0.5343496481577555,0.0039036648660594584,support
1.0,5,0.5570433298746745,0.003919408609000145,support
1.0,6,0.5680621306101481,0.003921735212696721,support
1.0,7,0.5809324264526368,0.0030831809583490143,support
1.0,8,0.5831836223602295,0.004022092662523973,support
1.05,1,0.30874929428100584,0.0023783215909033927,support
1.05,2,0.39380118052164714,0.002904820169331344,support
1.05,3,0.43784360885620116,0.0032544698391616814,support
1.05,4,0.46411177317301433,0.0029618079094528354,support
1.05,5,0.48357914288838705,0.0034213586088136026,support
1.05,6,0.4887952486673991,0.0027104174694528613,support
1.05,7,0.49616678555806476,0.003314800305192582,support
1.05,8,0.5004912694295247,0.003100475363822287,support
1.1000000000000005,1,0.2691070556640625,0.0021267133526741613,interpolated
1.1000000000000005,2,0.34145997365315756,0.0024554525012385198,interpolated
1.1000000000000005,3,0.3690422693888346,0.0026429114406077343,interpolated
1.1000000000000005,4,0.38245054880777996,0.0025470308348364006,interpolated
1.1000000000000005,5,0.4058721860249837,0.002251641141070309,interpolated
1.1000000000000005,6,0.3988051414489746,0.002310422438142563,interpolated
1.1000000000000005,7,0.4060392697652181,0.003158943775640581,interpolated
1.1000000000000005,8,0.413273557027181,0.0030195563930683136,interpolated
1.1500000000000006,1,0.23917608261108397,0.0020593366835351566,interpolated
1.1500000000000006,2,0.2935784657796224,0.0025498193232664735,interpolated
1.1500000000000006,3,0.3126218795776367,0.0023715888218465457,interpolated
1.1500000000000006,4,0.3262971878051758,0.002731490274992152,interpolated
1.1500000000000006,5,0.3401477813720703,0.0024916523619233017,interpolated
1.1500000000000006,6,0.3350740750630697,0.0025166670767826677,interpolated
1.1500000000000006,7,0.3405802090962728,0.0026879499856553844,interpolated
1.1500000000000006,8,0.34349737167358396,0.0021990437175682487,interpolated
1.2,1,0.2104615847269694,0.0018646224710515203,support
1.2,2,0.256380303700765,0.002268571220277904,support
1.2,3,0.27275377909342446,0.00224441583017264,support
1.2,4,0.2792218208312988,0.0022940922113633827,support
1.2,5,0.2852403004964193,0.0017986256025479554,support
1.2,6,0.27508713404337565,0.002338014931518916,support
1.2,7,0.28009328842163084,0.0019307526323612885,support
1.2,8,0.2880452473958333,0.0018251881519921944,support
1.2500000000000007,1,0.18707745869954426,0.0019404772111981281,interpolated
1.2500000000000007,2,0.22573366165161132,0.0020909430851806837,interpolated
1.2500000000000007,3,0.23289400736490887,0.0015803606297564894,interpolated
1.2500000000000007,4,0.23669284184773762,0.0019544734346715214,interpolated
1.2500000000000007,5,0.2452027956644694,0.002328959988380862,interpolated
1.2500000000000007,6,0.2348438580830892,0.0018520652987811567,interpolated
1.2500000000000007,7,0.23538869222005207,0.0021301948390370553,interpolated
1.2500000000000007,8,0.24283663431803384,0.001954074704391969,interpolated
