h,l1,l2,l3,l4,l5,l6,l7,l8
5.000000000000000000e-01,6.283844235126991862e-01,6.845205825544991018e-01,6.926736685752915568e-01,6.940962477509701190e-01,6.943689868918685448e-01,6.944243437930899265e-01,6.944359326044143854e-01,6.944379215050048293e-01
8.000000000000000444e-01,5.109819946263393087e-01,6.221122412800619284e-01,6.655033013106589346e-01,6.855524136748580855e-01,6.955543729223504501e-01,7.006611233145328965e-01,7.030992381536386171e-01,7.038226418780136884e-01
9.499999999999999556e-01,3.992780233872388340e-01,5.063347699935942803e-01,5.627061046020069845e-01,5.977236875245396375e-01,6.205292528826633625e-01,6.350345974965380114e-01,6.431418242237429972e-01,6.457544011586837662e-01
1.000000000000000000e+00,3.519793201430903018e-01,4.455344074911834484e-01,4.958876394833150458e-01,5.279382796562094304e-01,5.492644270258305594e-01,5.630584232217116236e-01,5.708565830566936228e-01,5.733840775299524628e-01
1.050000000000000044e+00,3.064744947335502623e-01,3.835754181963833553e-01,4.239642734371463217e-01,4.491844081908717423e-01,4.657284453562051119e-01,4.763202631162253287e-01,4.822683599029604085e-01,4.841898925582830970e-01
1.199999999999999956e+00,2.093529069816941202e-01,2.490112394849373911e-01,2.654184183199898572e-01,2.737768021703436139e-01,2.784164946307394195e-01,2.810320992861514711e-01,2.823805754863628059e-01,2.827979034381554180e-01
1.500000000000000000e+00,1.224846991782773675e-01,1.365952728060489674e-01,1.401795447422870822e-01,1.413117868020771772e-01,1.417127849221806735e-01,1.418657430061680547e-01,1.419245861703758993e-01,1.419401425692951302e-01
