h,l,type,s2,s2_err
1.150000e+00,8,novel,3.523541e-01,2.878707e-03
1.200000e+00,1,support,1.964508e-01,1.707382e-03
1.200000e+00,2,support,2.374218e-01,2.268877e-03
1.200000e+00,3,support,2.667286e-01,1.928057e-03
1.200000e+00,4,support,2.717757e-01,2.385951e-03
1.200000e+00,5,support,2.881866e-01,2.102072e-03
1.200000e+00,6,support,2.920164e-01,1.752277e-03
1.200000e+00,7,support,2.977116e-01,1.589403e-03
1.200000e+00,8,support,2.938802e-01,2.147780e-03
1.250000e+00,1,novel,1.735124e-01,1.436176e-03
1.250000e+00,2,novel,2.101676e-01,1.604387e-03
1.250000e+00,3,novel,2.300255e-01,1.796394e-03
1.250000e+00,4,novel,2.334121e-01,1.828015e-03
1.250000e+00,5,novel,2.444710e-01,2.199410e-03
1.250000e+00,6,novel,2.496524e-01,2.252312e-03
1.250000e+00,7,novel,2.518917e-01,2.109910e-03
1.250000e+00,8,novel,2.473828e-01,2.098399e-03
1.300000e+00,1,novel,1.603869e-01,2.224812e-03
1.300000e+00,2,novel,1.907232e-01,2.052288e-03
1.300000e+00,3,novel,2.061480e-01,1.733824e-03
1.300000e+00,4,novel,2.098687e-01,1.935083e-03
1.300000e+00,5,novel,2.165363e-01,1.849723e-03
1.300000e+00,6,novel,2.161805e-01,1.545083e-03
1.300000e+00,7,novel,2.161122e-01,2.322024e-03
1.300000e+00,8,novel,2.164814e-01,1.598991e-03
1.350000e+00,1,novel,1.454814e-01,1.932851e-03
1.350000e+00,2,novel,1.748717e-01,1.839153e-03
1.350000e+00,3,novel,1.861123e-01,2.096860e-03
1.350000e+00,4,novel,1.858962e-01,2.054884e-03
1.350000e+00,5,novel,1.905190e-01,2.024834e-03
1.350000e+00,6,novel,1.899717e-01,1.612819e-03
1.350000e+00,7,novel,1.916971e-01,1.875962e-03
1.350000e+00,8,novel,1.895243e-01,1.735264e-03
1.400000e+00,1,novel,1.421979e-01,9.817014e-04
1.400000e+00,2,novel,1.652161e-01,1.414056e-03
1.400000e+00,3,novel,1.688891e-01,1.391088e-03
1.400000e+00,4,novel,1.725441e-01,1.386768e-03
1.400000e+00,5,novel,1.768504e-01,1.540296e-03
1.400000e+00,6,novel,1.752215e-01,1.574045e-03
1.400000e+00,7,novel,1.762634e-01,1.420212e-03
1.400000e+00,8,novel,1.724652e-01,1.878625e-03
1.450000e+00,1,novel,1.316345e-01,1.039434e-03
1.450000e+00,2,novel,1.495394e-01,1.315376e-03
1.450000e+00,3,novel,1.570512e-01,1.470828e-03
1.450000e+00,4,novel,1.626689e-01,1.154172e-03
1.450000e+00,5,novel,1.630469e-01,1.314178e-03
1.450000e+00,6,novel,1.589320e-01,1.131918e-03
1.450000e+00,7,novel,1.606188e-01,1.524340e-03
1.450000e+00,8,novel,1.596841e-01,1.656362e-03
1.500000e+00,1,support,1.302543e-01,1.539544e-03
1.500000e+00,2,support,1.458924e-01,1.259275e-03
1.500000e+00,3,support,1.499214e-01,1.600708e-03
1.500000e+00,4,support,1.568294e-01,1.148308e-03
1.500000e+00,5,support,1.558542e-01,1.575448e-03
1.500000e+00,6,support,1.521794e-01,1.349149e-03
1.500000e+00,7,support,1.532985e-01,1.242983e-03
1.500000e+00,8,support,1.545849e-01,1.575554e-03
