rank,state_index,bitstring,target_prob,target_phase,model_phase,delta_phase
1,2,0010,0.25000000001951594,0.1258496060143903,0.17531636676330775,0.04946676074891743
2,4,0100,0.25000000000954803,0.27504847021032824,0.25054589365765656,-0.02450257655267185
3,8,1000,0.24999999998891909,-2.184668163873091,-2.2580570604822885,-0.07338889660919756
4,1,0001,0.24999999998201683,-1.0102571391087884,-0.9380132461802874,0.0722438929285012
