rank,state_index,bitstring,target_prob,target_phase,model_phase,delta_phase
1,2,0010,0.25000000001951594,0.1258496060143903,0.1538244362573528,0.027974830242962323
2,4,0100,0.25000000000954803,0.27504847021032824,0.283569041004731,0.008520570794402715
3,8,1000,0.24999999998891909,-2.184668163873091,-2.2000637697040166,-0.015395605830925696
4,1,0001,0.24999999998201683,-1.0102571391087884,-1.034042916680891,-0.023785777572102873
