rank,state_index,bitstring,target_prob,target_phase,model_phase,delta_phase
1,2,0010,0.25000000001951594,0.1258496060143903,0.17357746273666708,0.04772785672227675
2,4,0100,0.25000000000954803,0.27504847021032824,0.2765531219747106,0.0015046517643821922
3,8,1000,0.24999999998891909,-2.184668163873091,-2.2276647668127554,-0.04299660293966445
4,1,0001,0.24999999998201683,-1.0102571391087884,-1.0081335739576027,0.0021235651511855025
