delta,l1,l2,l3,l4,l5,l6,l7,l8
5.000000000000000000e-01,6.931471805599390690e-01,6.795988720214874990e-01,8.495596323774504688e-01,8.320517707553279907e-01,9.110192912398291654e-01,8.895752982074588422e-01,9.348823335901433884e-01,9.053427665964400850e-01
1.000000000000000000e+00,6.931471805599468405e-01,6.622503044516063753e-01,8.829487625735471523e-01,8.347817301586210048e-01,9.688769890077567615e-01,9.088591055412897912e-01,1.005395875191249067e+00,9.306241820673576415e-01
2.000000000000000000e+00,6.931471805599395131e-01,6.701925720607239123e-01,8.804546623397498939e-01,8.424026335407360788e-01,9.656819740211658454e-01,9.161607532558302402e-01,1.001975869625804094e+00,9.378169506860261073e-01
