h,l1,l2,l3,l4,l5,l6,l7,l8
8.000000000000000444e-01,5.109819946263305379e-01,6.221122412800511592e-01,6.655033013106490536e-01,6.855524136748482045e-01,6.955543729223377936e-01,7.006611233145200179e-01,7.030992381536238511e-01,7.038226418780010318e-01
1.000000000000000000e+00,3.519793201430833629e-01,4.455344074911751218e-01,4.958876394833068302e-01,5.279382796561956637e-01,5.492644270258169037e-01,5.630584232216986340e-01,5.708565830566795229e-01,5.733840775299381409e-01
1.199999999999999956e+00,2.093529069816943977e-01,2.490112394849346988e-01,2.654184183199901903e-01,2.737768021703400056e-01,2.784164946307360333e-01,2.810320992861478073e-01,2.823805754863563111e-01,2.827979034381484791e-01
