h,chi_F,seed,model_file
1.000000e+00,2.252888e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.071429e+00,2.387628e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.142857e+00,2.617114e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.214286e+00,2.841311e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.285714e+00,3.078604e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.357143e+00,3.215658e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.428571e+00,3.354118e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.500000e+00,3.425722e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.571429e+00,3.666939e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.642857e+00,3.721492e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.714286e+00,3.857425e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.785714e+00,4.064776e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.857143e+00,4.401990e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
1.928571e+00,4.677537e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.000000e+00,4.943080e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.071429e+00,5.452349e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.142857e+00,5.911993e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.214286e+00,6.414118e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.285714e+00,6.730782e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.357143e+00,7.090244e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.428571e+00,7.241515e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.500000e+00,7.626984e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.571429e+00,7.507637e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.642857e+00,7.239315e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.714286e+00,6.766053e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.785714e+00,6.143970e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.857143e+00,5.497137e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
2.928571e+00,4.891267e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.000000e+00,4.233023e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.071429e+00,3.642336e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.142857e+00,3.123889e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.214286e+00,2.545110e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.285714e+00,2.094807e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.357143e+00,1.737235e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.428571e+00,1.422438e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.500000e+00,1.139709e-01,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.571429e+00,8.707733e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.642857e+00,7.048811e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.714286e+00,5.501189e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.785714e+00,4.212843e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.857143e+00,3.241850e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
3.928571e+00,2.411640e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.000000e+00,1.946485e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.071429e+00,1.553525e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.142857e+00,1.255310e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.214286e+00,1.016503e-02,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.285714e+00,8.225014e-03,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.357143e+00,7.316777e-03,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.428571e+00,6.347867e-03,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
4.500000e+00,5.550589e-03,44,hyprbm_tfim_4x4_20000_suscept_seed44_20260207_011954.pt
