rank,state_index,target_phase,mean_model_phase,std_model_phase,mean_phase_error,std_phase_error
0,8,-2.675729822084168,0.19017718770572375,2.2569443515937415,0.35263288691805716,2.1664515684735526
1,4,-0.9007733583882539,0.7566698502598419,1.6044019522446007,-0.8558309142237389,1.9167528034320165
2,2,0.37360522332779633,-2.252405525526888,2.302908708962003,-1.3693736874187672,1.4026326353667278
3,1,0.39179129592276474,-1.2238877807066229,1.5068126441771794,-0.35904201519347023,2.1974579682315847
