seed,best_fidelity,best_epoch,final_fidelity,final_lr_am,final_lr_ph
0,0.8010245272899975,7,0.4771563570413334,0.00300003045792722,0.03
1,0.8092807204523811,5,0.36967697272400685,0.00300003045792722,0.03
2,0.8592714191537699,4,0.298716162788619,0.00300003045792722,0.03
3,0.07337896752488056,19,0.04357487096923615,0.00300003045792722,0.03
4,0.8668449797569915,6,0.44903536844861325,0.00300003045792722,0.03
