seed,best_fidelity,best_epoch,final_fidelity
0,0.8292202402533831,10,0.32034700049963155
1,0.8812041507832109,5,0.005933229577830203
2,0.8669229230010592,4,0.323889312781168
3,0.4757759452279789,17,0.4436216197620752
4,0.8724159598219032,6,0.2996261991287
