epoch,mean_fidelity,std_fidelity
1,0.1457801677017984,0.11049014876826672
2,0.15444448618437243,0.11596902435168878
3,0.17323059675720334,0.12579561803831
4,0.1864840378572879,0.12957117609420346
5,0.21065561302436392,0.14413730333653743
6,0.22539600998494863,0.160857562840837
7,0.25537660984501825,0.1880065775483022
8,0.2923618595631877,0.2160859446641386
9,0.33583015113593606,0.2465535268214186
10,0.37625284653307084,0.2914218829416138
11,0.42614851163920386,0.3236036503469122
12,0.48306402608996735,0.33703759784920645
13,0.4766506687922722,0.32028682312952483
14,0.44745446290063307,0.2912903260986386
15,0.43269575662720283,0.2637567488428047
16,0.4165527658926697,0.2513259296524623
17,0.3813116552176784,0.24434787534134875
18,0.40181588525851336,0.22817842715713163
19,0.42370121538518835,0.23381009457263097
20,0.4312430197732848,0.21595266479530398
