delta,l1,l2,l3,l4,l5
5.000000000000000000e-01,6.931471805599448421e-01,6.688050388755194531e-01,8.407641378062502557e-01,7.947876823913396782e-01,8.760116963702161419e-01
1.000000000000000000e+00,6.931471805599448421e-01,6.503621660492180379e-01,8.649729549236609971e-01,7.859893620899268685e-01,9.087859595327941742e-01
2.000000000000000000e+00,6.931471805599446201e-01,6.583740507469370007e-01,8.625906231041224892e-01,7.938592845608690718e-01,9.059600759167291129e-01
