h,overlap
1.000000e+00,9.999434e-01
1.400000e+00,9.998509e-01
1.500000e+00,9.998033e-01
2.000000e+00,9.993924e-01
2.500000e+00,9.996128e-01
3.000000e+00,9.997575e-01
3.500000e+00,9.997633e-01
4.000000e+00,9.998198e-01
4.500000e+00,9.997497e-01
