h,chiF_overlap,F_neighbor,Neff,Neff_norm,H_shannon,mz_mean,Cnn_raw,Cnn_conn,Cnn_conn_abs_mean,gap_E1_E0
1.0,0.27664191781795466,0.9999998616790411,3.330588304788486,5.082074439679697e-05,2.026205002901346,1.9146252421345378e-07,0.9364939322086474,0.9364939322086108,0.9364939322086108,
1.0303030303030303,0.27845840566698143,0.9999998607707972,3.4391157292692127,5.2476741474444774e-05,2.094591328302541,5.262704899297588e-08,0.9325186558744161,0.9325186558744132,0.9325186558744132,
1.0606060606060606,0.2803554779440276,0.999999859822261,3.55489428380911,5.424338201613022e-05,2.164324075910704,-7.550182392485061e-08,0.9284160886447832,0.9284160886447776,0.9284160886447776,
1.0909090909090908,0.28233673132760373,0.9999998588316343,3.6784468294108765,5.6128644247602486e-05,2.23539481795532,-1.4718518539375003e-08,0.9241853837070341,0.9241853837070337,0.9241853837070337,
1.121212121212121,0.28440630028825353,0.9999998577968499,3.8103440751187825,5.8141236497784157e-05,2.307796412497977,-1.0750324221098229e-08,0.91982565033518,0.91982565033518,0.91982565033518,
1.1515151515151516,0.2865687145359175,0.9999998567156427,3.95120950842653,6.029067243082474e-05,2.3815230265324545,4.064196878345028e-09,0.9153359496668525,0.9153359496668525,0.9153359496668525,
1.1818181818181819,0.2888292502944978,0.9999998555853749,4.101724920613971,6.258735535604814e-05,2.456570174925841,1.0437399486362686e-09,0.9107152896968281,0.9107152896968281,0.9107152896968281,
1.2121212121212122,0.29119385347442517,0.9999998544030733,4.2626366192292044,6.504267302290656e-05,2.5329347808125915,2.0659425559177436e-11,0.9059626190891479,0.9059626190891479,0.9059626190891479,
1.2424242424242424,0.29366942433384224,0.9999998531652878,4.434762421650269,6.766910433426313e-05,2.6106152575440706,7.093687914849767e-09,0.901076819744433,0.901076819744433,0.901076819744433,
1.2727272727272727,0.29626386743863975,0.9999998518680663,4.618999550956768,7.048033982783154e-05,2.6896116172646884,-1.0928648021268916e-09,0.8960566977492592,0.8960566977492592,0.8960566977492592,
1.303030303030303,0.29898635145464425,0.9999998505068243,4.816333568903088,7.349141798253004e-05,2.7699256081343475,5.064745532690207e-10,0.8909009724954959,0.8909009724954959,0.8909009724954959,
1.3333333333333335,0.30184748922579274,0.9999998490762554,5.027848510949826,7.671887986678812e-05,2.8515608848037637,-8.155009306731742e-10,0.8856082635919097,0.8856082635919097,0.8856082635919097,
1.3636363636363638,0.30485960889059527,0.9999998475701956,5.254738416431884,8.01809450749494e-05,2.93452321587601,-4.3238444075166527e-10,0.88017707521725,0.88017707521725,0.88017707521725,
1.393939393939394,0.30803701300818886,0.9999998459814935,5.498320484961794,8.389771247805472e-05,3.0188207325953123,2.2293179108290317e-10,0.8746057775090879,0.8746057775090879,0.8746057775090879,
1.4242424242424243,0.31139634248944503,0.9999998443018288,5.760050134911092,8.789138999803302e-05,3.104464222907621,1.4637518974680575e-10,0.8688925845595007,0.8688925845595007,0.8688925845595007,
1.4545454545454546,0.31495692476291026,0.9999998425215376,6.04153829527584,9.218655846062989e-05,3.191467474912682,-8.157437572653414e-11,0.8630355285632763,0.8630355285632763,0.8630355285632763,
1.4848484848484849,0.31874112660368326,0.9999998406294367,6.344571329467177,9.681047560832485e-05,3.279847673292317,-1.4470162221225102e-10,0.857032429653994,0.857032429653994,0.857032429653994,
1.5151515151515151,0.3227748521794638,0.9999998386125739,6.671134071948031,0.0001017934276115117,3.3696258515353383,-5.482732323702777e-13,0.850880860971764,0.850880860971764,0.850880860971764,
1.5454545454545454,0.3270879949113237,0.9999998364560025,7.023436560848171,0.00010716913697583268,3.4608274018036833,2.1130977523320382e-10,0.8445781085208997,0.8445781085208997,0.8445781085208997,
1.5757575757575757,0.3317149470660752,0.9999998341425265,7.403945172410386,0.00011297523761612527,3.5534826424138473,-1.8440212204429152e-10,0.8381211254547549,0.8381211254547549,0.8381211254547549,
1.606060606060606,0.3366951299987875,0.999999831652435,7.815419020042153,0.00011925383026187367,3.6476274412118395,1.30909588724748e-11,0.8315064804745957,0.8315064804745957,0.8315064804745957,
1.6363636363636362,0.34207352905823996,0.9999998289632355,8.260952665928661,0.00012605213418470247,3.7433038896316386,-6.95875232437082e-11,0.8247303002192591,0.8247303002192591,0.8247303002192591,
1.6666666666666667,0.34790125380546044,0.9999998260493731,8.744026430757938,0.00013342325486386013,3.84056101900258,8.822151342791074e-12,0.81778820567556,0.81778820567556,0.81778820567556,
1.696969696969697,0.35423600985851067,0.9999998228819951,9.26856587344069,0.00014142709157471755,3.939455545494006,3.030319051244845e-11,0.8106752429457251,0.8106752429457251,0.8106752429457251,
1.7272727272727273,0.36114258827879553,0.9999998194287059,9.839012372003344,0.0001501314143677268,4.040052624293291,-1.1806913086109816e-11,0.803385809056348,0.803385809056348,0.803385809056348,
1.7575757575757576,0.36869318131849127,0.9999998156534093,10.460407177602331,0.00015961314663089494,4.142426585942513,6.343300884559255e-12,0.7959135739937511,0.7959135739937511,0.7959135739937511,
1.7878787878787878,0.37696756050031865,0.9999998115162197,11.138491862009849,0.00016995989779678114,4.246661618748336,-2.8657631823136853e-13,0.7882514007644756,0.7882514007644756,0.7882514007644756,
1.8181818181818183,0.3860530148891428,0.9999998069734926,11.879828755126841,0.00018127180107310243,4.3528523500682645,4.822555549344187e-12,0.7803912660805156,0.7803912660805156,0.7803912660805156,
1.8484848484848486,0.39604395651871016,0.9999998019780217,12.691945806451544,0.00019366372385332557,4.461104266288479,-9.188483307553952e-13,0.7723241852533543,0.7723241852533543,0.7723241852533543,
1.878787878787879,0.40704102710620305,0.9999997964794864,13.583511336754409,0.00020726793421561293,4.57153389610743,1.909004204714293e-12,0.7640401460982413,0.7640401460982413,0.7640401460982413,
