h,l,type,s2,s2_err
1.100000e+00,2,novel,3.299942e-01,2.588753e-03
1.100000e+00,3,novel,3.622322e-01,1.383395e-03
1.100000e+00,4,novel,3.826218e-01,1.339687e-03
1.100000e+00,5,novel,3.954887e-01,4.005282e-03
1.100000e+00,6,novel,4.061413e-01,2.308987e-03
1.100000e+00,7,novel,4.050989e-01,2.991888e-03
1.100000e+00,8,novel,4.081306e-01,3.761403e-03
1.150000e+00,1,novel,2.353725e-01,5.680893e-03
1.150000e+00,2,novel,2.926922e-01,6.059277e-03
1.150000e+00,3,novel,3.150024e-01,4.608018e-03
1.150000e+00,4,novel,3.198013e-01,8.797244e-03
1.150000e+00,5,novel,3.318272e-01,6.002146e-03
1.150000e+00,6,novel,3.375759e-01,5.993419e-03
1.150000e+00,7,novel,3.324432e-01,5.332930e-03
1.150000e+00,8,novel,3.376303e-01,5.514436e-03
1.200000e+00,1,support,2.098961e-01,4.104124e-03
1.200000e+00,2,support,2.554111e-01,2.819074e-03
1.200000e+00,3,support,2.660027e-01,2.913524e-03
1.200000e+00,4,support,2.770309e-01,4.046572e-03
1.200000e+00,5,support,2.844172e-01,3.699464e-03
1.200000e+00,6,support,2.857742e-01,2.817406e-03
1.200000e+00,7,support,2.847013e-01,6.397337e-03
1.200000e+00,8,support,2.874155e-01,1.276677e-03
1.250000e+00,1,novel,1.852512e-01,4.901033e-03
1.250000e+00,2,novel,2.227211e-01,3.912222e-03
1.250000e+00,3,novel,2.316170e-01,2.030586e-03
1.250000e+00,4,novel,2.394447e-01,5.037563e-03
1.250000e+00,5,novel,2.440739e-01,2.611807e-03
1.250000e+00,6,novel,2.427063e-01,5.544973e-03
1.250000e+00,7,novel,2.356482e-01,3.583588e-03
1.250000e+00,8,novel,2.470722e-01,5.358345e-03
1.300000e+00,1,novel,1.667538e-01,1.805138e-03
1.300000e+00,2,novel,2.000618e-01,2.337217e-03
1.300000e+00,3,novel,2.071781e-01,1.368541e-03
1.300000e+00,4,novel,2.078228e-01,3.606916e-03
1.300000e+00,5,novel,2.150812e-01,5.551582e-03
1.300000e+00,6,novel,2.153568e-01,1.772524e-03
1.300000e+00,7,novel,2.113371e-01,2.024352e-03
1.300000e+00,8,novel,2.138987e-01,3.332250e-03
1.350000e+00,1,novel,1.507311e-01,1.904541e-03
1.350000e+00,2,novel,1.811428e-01,1.545798e-03
1.350000e+00,3,novel,1.859713e-01,2.301872e-03
1.350000e+00,4,novel,1.866369e-01,2.713855e-03
1.350000e+00,5,novel,1.951075e-01,6.861009e-03
1.350000e+00,6,novel,1.929932e-01,2.161587e-03
1.350000e+00,7,novel,1.894484e-01,3.104790e-03
1.350000e+00,8,novel,1.971560e-01,4.210244e-03
1.400000e+00,1,novel,1.386404e-01,1.681974e-03
1.400000e+00,2,novel,1.678343e-01,7.263162e-04
1.400000e+00,3,novel,1.691847e-01,2.729579e-03
1.400000e+00,4,novel,1.678457e-01,4.234666e-03
1.400000e+00,5,novel,1.748810e-01,2.105752e-03
1.400000e+00,6,novel,1.753464e-01,1.034330e-03
1.400000e+00,7,novel,1.717911e-01,3.128687e-03
1.400000e+00,8,novel,1.752796e-01,3.333010e-03
1.450000e+00,1,novel,1.279802e-01,2.579472e-04
1.450000e+00,2,novel,1.553354e-01,2.137070e-03
1.450000e+00,3,novel,1.549530e-01,2.935637e-03
1.450000e+00,4,novel,1.557150e-01,2.532833e-03
1.450000e+00,5,novel,1.582747e-01,8.354168e-04
1.450000e+00,6,novel,1.572723e-01,4.296623e-03
1.450000e+00,7,novel,1.601839e-01,3.491564e-03
1.450000e+00,8,novel,1.585674e-01,1.785725e-03
1.500000e+00,1,support,1.161957e-01,1.922875e-03
1.500000e+00,2,support,1.414070e-01,2.131513e-03
1.500000e+00,3,support,1.448841e-01,3.066673e-03
1.500000e+00,4,support,1.372309e-01,1.722435e-03
1.500000e+00,5,support,1.465578e-01,3.068737e-03
1.500000e+00,6,support,1.469841e-01,2.419035e-03
1.500000e+00,7,support,1.454172e-01,2.933892e-03
1.500000e+00,8,support,1.450367e-01,3.552417e-03
