h,type,mag_z,mag_x
1.000000e+00,support,9.673750e-01,2.527587e-01
1.500000e+00,novel,9.220000e-01,3.793174e-01
1.800000e+00,novel,8.902500e-01,4.463613e-01
2.000000e+00,novel,8.303750e-01,5.439469e-01
2.200000e+00,novel,7.691250e-01,6.201267e-01
2.400000e+00,novel,6.891250e-01,7.067705e-01
2.600000e+00,novel,6.076250e-01,7.751716e-01
2.800000e+00,novel,5.391250e-01,8.242105e-01
3.000000e+00,support,4.726250e-01,8.740597e-01
3.200000e+00,novel,4.152500e-01,9.069539e-01
3.400000e+00,novel,3.655000e-01,9.284219e-01
3.600000e+00,novel,3.238750e-01,9.487872e-01
3.800000e+00,novel,3.307500e-01,9.474319e-01
4.000000e+00,novel,2.928750e-01,9.670090e-01
4.200000e+00,novel,2.835000e-01,9.671251e-01
4.500000e+00,novel,2.777500e-01,9.720088e-01
5.000000e+00,support,2.623750e-01,9.793370e-01
5.500000e+00,novel,2.505000e-01,9.843968e-01
6.000000e+00,novel,2.496250e-01,9.843640e-01
6.500000e+00,novel,2.566250e-01,9.860197e-01
7.000000e+00,support,2.392500e-01,9.908111e-01
