h,type,mag_z,mag_x
1.000000e+00,support,9.646250e-01,2.636877e-01
1.500000e+00,novel,9.173750e-01,3.952012e-01
1.800000e+00,novel,8.686250e-01,4.894503e-01
2.000000e+00,novel,8.015000e-01,5.891175e-01
2.200000e+00,novel,7.402500e-01,6.611810e-01
2.400000e+00,novel,6.641250e-01,7.312626e-01
2.600000e+00,novel,5.788750e-01,8.048601e-01
2.800000e+00,novel,5.122500e-01,8.453323e-01
3.000000e+00,novel,4.325000e-01,8.985540e-01
3.200000e+00,novel,3.721250e-01,9.354504e-01
3.400000e+00,novel,3.455000e-01,9.429802e-01
3.600000e+00,novel,3.213750e-01,9.554363e-01
3.800000e+00,novel,3.217500e-01,9.572684e-01
4.000000e+00,support,3.095000e-01,9.599952e-01
4.200000e+00,novel,2.947500e-01,9.621987e-01
4.500000e+00,novel,2.895000e-01,9.678143e-01
5.000000e+00,novel,2.926250e-01,9.684166e-01
5.500000e+00,novel,2.632500e-01,9.764526e-01
6.000000e+00,novel,2.615000e-01,9.794748e-01
6.500000e+00,novel,2.477500e-01,9.885802e-01
7.000000e+00,support,2.335000e-01,9.920468e-01
