stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage1_coarse,32,0.0001,11,30,0.2888808189115994,9,0.25115506954494204,0.5314915513616632
stage1_coarse,32,0.0001,17,30,0.14779597366890868,30,0.14779597366890868,0.5370475896544347
stage1_coarse,32,0.0003,11,30,0.28903848529439014,3,0.2737684562477371,0.47794745957147866
stage1_coarse,32,0.0003,17,30,0.18617428035922526,30,0.18617428035922526,0.48880664121242756
stage1_coarse,32,0.001,11,30,0.31953311678660395,30,0.31953311678660395,0.3750287326566742
stage1_coarse,32,0.001,17,30,0.2775914171664548,28,0.27219539667136416,0.3414947412146847
stage1_coarse,32,0.003,11,30,0.5458644351182396,17,0.35979065906815505,1.182672236636272
stage1_coarse,32,0.003,17,30,0.4796100334018832,26,0.16926323870839136,0.4763977343859875
stage1_coarse,32,0.01,11,30,0.5664027971960393,6,0.3605700589015565,1.5561025816249738
stage1_coarse,32,0.01,17,30,0.5189808629301126,7,0.27019213810444503,3.6638539123563243
stage1_coarse,32,0.03,11,30,0.5888066945932288,2,0.352766563702699,1.0529222403054666
stage1_coarse,32,0.03,17,30,0.39831000337833145,13,0.25675426472707474,7.628195190924416
stage1_coarse,64,0.0001,11,30,0.28927426896247976,16,0.25811930508501374,0.5476354708117543
stage1_coarse,64,0.0001,17,30,0.11691164022671842,30,0.11691164022671842,0.5533496953329469
stage1_coarse,64,0.0003,11,30,0.291679336985245,6,0.2570826910708093,0.5079706280168216
stage1_coarse,64,0.0003,17,30,0.16282590138229872,30,0.16282590138229872,0.5175907416631271
stage1_coarse,64,0.001,11,30,0.30883063721040527,26,0.3007735097658576,0.41322464202547365
stage1_coarse,64,0.001,17,30,0.24033412047026248,30,0.24033412047026248,0.4007407225280576
stage1_coarse,64,0.003,11,30,0.553099897098942,26,0.4955355105472724,0.8858548816621903
stage1_coarse,64,0.003,17,30,0.30175813734358015,27,0.2935641483156224,0.3245860099475654
stage1_coarse,64,0.01,11,30,0.5496574183037535,8,0.38005778494531606,1.1148571114074515
stage1_coarse,64,0.01,17,30,0.4805929346325639,20,0.41277640315583236,1.892006118585824
stage1_coarse,64,0.03,11,30,0.5689140350836736,3,0.20270729041305804,1.7643258572104024
stage1_coarse,64,0.03,17,30,0.5390684912241269,3,0.1960887202564277,5.085686458704932
stage1_coarse,128,0.0001,11,30,0.290141674791731,29,0.2900867266933988,0.6224770871017268
stage1_coarse,128,0.0001,17,30,0.03510264233237104,2,0.028729782223105602,0.7952632622999657
stage1_coarse,128,0.0003,11,30,0.29088514721141384,12,0.25296406927734993,0.5337356110297591
stage1_coarse,128,0.0003,17,30,0.14643266499083935,30,0.14643266499083935,0.5376705830576317
stage1_coarse,128,0.001,11,30,0.2903881646511541,4,0.28868287736451215,0.46017767358157036
stage1_coarse,128,0.001,17,30,0.19786105870368506,29,0.19557383727631553,0.46505662765497385
stage1_coarse,128,0.003,11,30,0.44425286780831796,30,0.44425286780831796,0.33078164330501253
stage1_coarse,128,0.003,17,30,0.32955150243275366,29,0.3204388393945405,0.3405714176577605
stage1_coarse,128,0.01,11,30,0.5756273470094694,23,0.46518269402390033,0.7576945498712019
stage1_coarse,128,0.01,17,30,0.47971331434126824,19,0.44776612647624364,1.0337212967237661
stage1_coarse,128,0.03,11,30,0.5886484294735623,9,0.23437431681174614,2.117077364147169
stage1_coarse,128,0.03,17,30,0.8621127580898487,6,0.000532491738121814,6.649509807435099
stage1_coarse,256,0.0001,11,30,0.21980374185846596,30,0.21980374185846596,0.9798958318432612
stage1_coarse,256,0.0001,17,30,0.035280981414891686,4,0.005778854465617824,1.2955332858034445
stage1_coarse,256,0.0003,11,30,0.29087335033119605,23,0.2811234574519061,0.5653684680167278
stage1_coarse,256,0.0003,17,30,0.053484095527378074,30,0.053484095527378074,0.6518575279286637
stage1_coarse,256,0.001,11,30,0.29036968055865847,7,0.25734855194362327,0.5122937996884522
stage1_coarse,256,0.001,17,30,0.15592118652149714,28,0.15514399136043758,0.5228524420488405
stage1_coarse,256,0.003,11,30,0.30985367227077965,27,0.3094169360536397,0.41857272779763327
stage1_coarse,256,0.003,17,30,0.22764763595745083,28,0.22420743545667218,0.40559836807473626
