stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage2_refine,32,0.00316227766,11,60,0.546043075656856,17,0.32727424979894043,1.5777652595308578
stage2_refine,32,0.00316227766,17,60,0.4578995219604585,25,0.4205451245782464,1.0652289452032144
stage2_refine,32,0.00316227766,23,60,0.4153812140546492,43,0.32014053153557986,1.1551234045738141
stage2_refine,32,0.009486832981,11,60,0.5538719050401943,6,0.2324325072245487,1.6018586009745228
stage2_refine,32,0.009486832981,17,60,0.4720931331458844,26,0.4546322331680503,1.5865881114227773
stage2_refine,32,0.009486832981,23,60,0.4292576590420366,11,0.33051128288937737,1.12964603374196
stage2_refine,32,0.01,11,60,0.5664027971960393,6,0.3607864597923017,1.531964908696157
stage2_refine,32,0.01,17,60,0.5189808629301126,7,7.484097005977353e-07,11.752731149779743
stage2_refine,32,0.01,23,60,0.5063477551092684,10,0.34352217159654846,1.153295021472356
stage2_refine,32,0.03,11,60,0.5888066945932288,2,0.2219421533615921,6.1077476004709155
stage2_refine,32,0.03,17,60,0.39831000337833145,13,0.2474259288538686,10.10890197057637
stage2_refine,32,0.03,23,60,0.855206276846762,2,0.0946668835035611,2.2594116854643955
stage2_refine,32,0.031622776602,11,60,0.5517978013720987,2,0.2063675299033744,2.139296150445152
stage2_refine,32,0.031622776602,17,60,0.486630843713504,15,0.24880649433132043,9.883044318711972
stage2_refine,32,0.031622776602,23,60,0.7204719456055276,2,0.10134274629064892,2.4071337467185847
stage2_refine,32,0.094868329805,11,60,0.5807118890976848,1,0.22896248890668372,15.340263252458685
stage2_refine,32,0.094868329805,17,60,0.456147269793765,4,0.1878287138019901,15.308220350718381
stage2_refine,32,0.094868329805,23,60,0.37993289649618794,2,0.17283509073687792,6.549488391367258
stage2_refine,64,0.00316227766,11,60,0.5505965932465132,26,0.38141039060379583,1.2132838584043246
stage2_refine,64,0.00316227766,17,60,0.6253190342050321,37,0.3731134681460891,1.1564470575307035
stage2_refine,64,0.00316227766,23,60,0.27200615103401315,32,0.2240042091683636,1.113377469522338
stage2_refine,64,0.009486832981,11,60,0.5471391684839725,8,0.30121994665816754,1.548876507272485
stage2_refine,64,0.009486832981,17,60,0.4836674971306562,20,4.517107143666057e-05,9.15392542016642
stage2_refine,64,0.009486832981,23,60,0.5320906162092598,15,0.3413176363415434,1.6546143217243834
stage2_refine,64,0.01,11,60,0.5496574183037535,8,0.28913850277332975,1.7329464470070186
stage2_refine,64,0.01,17,60,0.4805929346325639,20,0.00035687703326550295,8.262401181905293
stage2_refine,64,0.01,23,60,0.8644157218244368,10,0.3884489979085045,1.1289863224171433
stage2_refine,64,0.03,11,60,0.5689140350836736,3,0.09704940456432581,2.4679268378329313
stage2_refine,64,0.03,17,60,0.5390684912241269,3,0.19359616135343982,9.346556231160976
stage2_refine,64,0.03,23,60,0.618083643631888,4,0.026534789671906603,11.919077839746604
stage2_refine,64,0.031622776602,11,60,0.553665125820394,3,0.2542884852547846,2.8129204297033503
stage2_refine,64,0.031622776602,17,60,0.907877039305969,3,0.24593469514966426,3.6753949010071776
stage2_refine,64,0.031622776602,23,60,0.5450768427397756,3,0.26017924408411625,5.708398000408455
stage2_refine,64,0.094868329805,11,60,0.6920477950203052,2,0.18739977182001308,11.221980121779037
stage2_refine,64,0.094868329805,17,60,0.8789519643178321,1,0.07152958622889091,2.936931283744975
stage2_refine,64,0.094868329805,23,60,0.8441326101978398,1,0.3490302699333133,3.8771231308029
stage2_refine,128,0.00316227766,11,60,0.5460204234402403,34,0.40242516483142277,0.8322798182706707
stage2_refine,128,0.00316227766,17,60,0.5395554990020867,41,0.2631703203413624,1.1894150292544148
stage2_refine,128,0.00316227766,23,60,0.8800685535260049,47,0.4461715128333621,1.4597888031928477
stage2_refine,128,0.009486832981,11,60,0.5724299852439149,24,0.2711828732148444,1.267909811584832
stage2_refine,128,0.009486832981,17,60,0.5239006036489775,20,0.06094387496223466,3.2544715088435723
stage2_refine,128,0.009486832981,23,60,0.6592362954092151,25,0.23668146543185048,3.531841226569049
stage2_refine,128,0.01,11,60,0.5756273470094694,23,0.350597993858103,1.3301796470820388
stage2_refine,128,0.01,17,60,0.5278343049044444,31,0.01211314690448834,4.108783241816207
stage2_refine,128,0.01,23,60,0.5520117812215591,23,0.43074464338279106,0.8428581044276056
stage2_refine,128,0.03,11,60,0.5886484294735623,9,0.18674765098429016,2.0439136330802676
