stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage3_final,512,0.094868329805,11,100,0.8850397921109305,6,0.4680223583949249,1.751454774033244
stage3_final,512,0.094868329805,17,100,0.8726785524812609,6,0.7320151176320914,0.2718847829046782
stage3_final,512,0.094868329805,23,100,0.919005937057117,7,0.22187936698617475,5.818755756775992
stage3_final,512,0.094868329805,29,100,0.6485516006741756,10,0.18815358060219806,7.589028868581278
stage3_final,512,0.094868329805,31,100,0.3812949355564066,97,0.3110092512960671,1.7549853727861662
stage3_final,128,0.094868329805,11,100,0.8673694136217537,2,0.13189674243911664,6.213420689113472
stage3_final,128,0.094868329805,17,100,0.7048484296021053,2,0.16072261522070563,8.755364606860292
stage3_final,128,0.094868329805,23,100,0.8879224296868886,2,0.23157717464633773,2.5636640466958824
stage3_final,128,0.094868329805,29,100,0.7303808977395723,3,0.3227708686289084,2.2639198592036425
stage3_final,128,0.094868329805,31,100,0.8486222718786629,2,0.19938414536789864,6.614236795946611
stage3_final,512,0.031622776602,11,100,0.6652971411067178,30,0.33627966906666124,1.7286714040909303
stage3_final,512,0.031622776602,17,100,0.8823528759081062,19,0.1986500366555555,6.143288683475674
stage3_final,512,0.031622776602,23,100,0.8979615213618374,15,0.40767966174363407,1.2655816451599062
stage3_final,512,0.031622776602,29,100,0.870220416790007,18,0.3110631690421101,3.1533180324972747
stage3_final,512,0.031622776602,31,100,0.8922918266639652,17,0.25750589547735936,3.106982851089242
