stage,batch_size,learning_rate,mean_peak_fidelity,std_peak_fidelity,max_peak_fidelity,mean_best_epoch,mean_final_fidelity,mean_final_kl,num_seeds
stage2_refine,512,0.094868329805,0.8922414272164362,0.023988628588446994,0.919005937057117,6.333333333333333,0.4580755395426834,1.544294870801967,3
stage2_refine,128,0.094868329805,0.8200467576369158,0.10029256056086762,0.8879224296868886,2.0,0.176003546769957,6.259762538668549,3
stage2_refine,512,0.031622776602,0.8152038461255539,0.13005738199128994,0.8979615213618374,21.333333333333332,0.3250759835521165,1.9475560699127472,3
stage2_refine,64,0.094868329805,0.805044123178659,0.09939428800633436,0.8789519643178321,1.3333333333333333,0.20265320932740574,6.012011512108971,3
stage2_refine,512,0.03,0.8003939075290947,0.14781637034436224,0.8888778684117618,19.666666666666668,0.2900860790452046,1.9904981047962993,3
stage2_refine,256,0.03,0.7958165035923298,0.11315913822626858,0.8663463599405038,11.666666666666666,0.13742898748232718,3.324612981841867,3
stage2_refine,256,0.031622776602,0.7810022212517751,0.123141817909898,0.8712288631452733,11.333333333333334,0.25178389744029284,1.7712648771134039,3
stage2_refine,256,0.094868329805,0.7495432374585018,0.20582333309899123,0.8733909000413935,3.6666666666666665,0.15045292825538362,2.8313709062654167,3
stage2_refine,128,0.031622776602,0.7463039702257047,0.12603228976404246,0.877667413760239,6.333333333333333,0.27604117275021567,7.902707616161156,3
stage2_refine,128,0.03,0.7256625028844162,0.13673303614933605,0.8621127580898487,7.0,0.13278794103303285,7.3728317582479805,3
stage2_refine,512,0.01,0.7090721840628897,0.16345159295170852,0.8973337743390684,54.333333333333336,0.6223510805423976,0.5190871649518739,3
stage2_refine,256,0.009486832981,0.6961345919407543,0.16230922625981173,0.871368440096651,34.666666666666664,0.2505427279031153,1.7942534262164387,3
stage2_refine,256,0.01,0.6900567468306154,0.1919510990503016,0.8956520850679863,34.0,0.3109927708534729,1.9619485795558926,3
stage2_refine,512,0.009486832981,0.6768310983410831,0.19085629761760636,0.8939149438501588,55.666666666666664,0.5889798432405383,0.5254197686455983,3
stage2_refine,64,0.031622776602,0.6688730026220462,0.20702810634060206,0.907877039305969,3.0,0.2534674748295217,4.065571110372995,3
stage2_refine,128,0.00316227766,0.6552148253227773,0.19475586801728456,0.8800685535260049,40.666666666666664,0.3705889993353824,1.160494550239311,3
stage2_refine,64,0.01,0.6315553582535848,0.20459823415160275,0.8644157218244368,12.666666666666666,0.22598145923836657,3.708111317109818,3
stage2_refine,32,0.03,0.6141076582727741,0.22949652557210964,0.855206276846762,5.666666666666667,0.18801165523967392,6.158687085503893,3
stage2_refine,32,0.031622776602,0.5863001968970435,0.12067819482507496,0.7204719456055276,6.333333333333333,0.1855055901751146,4.8098247386252355,3
stage2_refine,128,0.009486832981,0.5851889614340359,0.06856406472140178,0.6592362954092151,23.0,0.18960273786964318,2.684740848999151,3
stage2_refine,64,0.03,0.5753553899798961,0.039899459484806866,0.618083643631888,3.3333333333333335,0.10572678519655741,7.911186969580171,3
stage2_refine,128,0.01,0.5518244777118243,0.02389707158558852,0.5756273470094694,25.666666666666668,0.2644852613817941,2.0939403311086173,3
stage2_refine,32,0.01,0.5305771384118068,0.03166239447351475,0.5664027971960393,7.666666666666667,0.23476979326618355,4.812663693316085,3
stage2_refine,64,0.009486832981,0.5209657606079628,0.03316602290308755,0.5471391684839725,14.333333333333334,0.21419425135704917,4.119138749721096,3
stage2_refine,32,0.009486832981,0.48507423240937175,0.06331318409295751,0.5538719050401943,14.333333333333334,0.3391920077606588,1.4393642487130869,3
stage2_refine,64,0.00316227766,0.4826405928285195,0.18620153556902339,0.6253190342050321,31.666666666666668,0.3261760226394162,1.1610361284857886,3
stage2_refine,32,0.00316227766,0.4731079372239879,0.0666453482282111,0.546043075656856,28.333333333333332,0.35598663530425556,1.2660392031026289,3
stage2_refine,32,0.094868329805,0.4722640184625459,0.10135513385249642,0.5807118890976848,2.3333333333333335,0.19654209781518392,12.399323998181442,3
stage2_refine,256,0.00316227766,0.37153850196532834,0.19494395528028055,0.5509645632090899,59.0,0.36856924470047736,0.35625249032872736,3
stage2_refine,512,0.00316227766,0.20452662458189788,0.1637045636615968,0.33483850299253237,40.333333333333336,0.19970254525570555,0.3880344633476976,3
