h,overlap
1.000000000000000000e+00,9.998737573623657227e-01
1.399999999999999911e+00,9.997636675834655762e-01
1.500000000000000000e+00,9.996774196624755859e-01
2.000000000000000000e+00,9.989081621170043945e-01
2.500000000000000000e+00,9.985020160675048828e-01
3.000000000000000000e+00,9.989237785339355469e-01
3.500000000000000000e+00,9.993308782577514648e-01
4.000000000000000000e+00,9.994143247604370117e-01
