h,l,type,s2
1.450000e+00,3,novel,1.570512e-01
1.450000e+00,4,novel,1.626689e-01
1.450000e+00,5,novel,1.630469e-01
1.450000e+00,6,novel,1.589320e-01
1.450000e+00,7,novel,1.606188e-01
1.450000e+00,8,novel,1.596841e-01
1.500000e+00,1,support,1.302543e-01
1.500000e+00,2,support,1.458924e-01
1.500000e+00,3,support,1.499214e-01
1.500000e+00,4,support,1.568294e-01
1.500000e+00,5,support,1.558542e-01
1.500000e+00,6,support,1.521794e-01
1.500000e+00,7,support,1.532985e-01
1.500000e+00,8,support,1.545849e-01
