timestamp,seed,samples,overlap
2026-06-08 02:24:55,1111,50,0.5999560634944044
2026-06-08 02:24:55,1111,100,0.610723173680458
2026-06-08 02:24:55,1111,200,0.6172130739706143
2026-06-08 02:24:55,1111,500,0.6384343286807936
2026-06-08 02:24:55,1111,1000,0.6810256030063184
2026-06-08 02:24:55,1111,2000,0.9062896643064532
2026-06-08 02:24:55,1111,5000,0.9898610301466714
2026-06-08 02:24:55,1111,10000,0.9985770001047547
2026-06-08 02:24:55,1111,20000,1.0020643422314106
2026-06-08 02:24:55,1111,50000,1.0001526958725644
