timestamp,seed,samples,overlap
2026-06-07 22:18:36,1337,50,0.5572036865529875
2026-06-07 22:18:36,1337,100,0.5833338739536204
2026-06-07 22:18:36,1337,200,0.5965319180645758
2026-06-07 22:18:36,1337,500,0.6055215073727883
2026-06-07 22:18:36,1337,1000,0.6116974142614992
2026-06-07 22:18:36,1337,2000,0.618353948834968
2026-06-07 22:18:36,1337,5000,0.7049693687133649
2026-06-07 22:18:36,1337,10000,0.9780020460554925
2026-06-07 22:18:36,1337,20000,0.9980436396451919
2026-06-07 22:18:36,1337,50000,1.004207716236781
