timestamp,seed,samples,overlap
2026-06-07 23:50:55,3333,50,0.5448592799451243
2026-06-07 23:50:55,3333,100,0.5753455448864273
2026-06-07 23:50:55,3333,200,0.5896942409243856
2026-06-07 23:50:55,3333,500,0.6035485983452794
2026-06-07 23:50:55,3333,1000,0.6038827441500422
2026-06-07 23:50:55,3333,2000,0.612498060712615
2026-06-07 23:50:55,3333,5000,0.7043610290717882
2026-06-07 23:50:55,3333,10000,0.9800306390162081
2026-06-07 23:50:55,3333,20000,0.9938630702082439
2026-06-07 23:50:55,3333,50000,0.9996206083641276
