timestamp,seed,samples,overlap
2026-06-08 02:30:35,2222,50,0.6022827491265315
2026-06-08 02:30:35,2222,100,0.6109848065487428
2026-06-08 02:30:35,2222,200,0.6268288954497282
2026-06-08 02:30:35,2222,500,0.6387565231588759
2026-06-08 02:30:35,2222,1000,0.6977402362717806
2026-06-08 02:30:35,2222,2000,0.9272173404197291
2026-06-08 02:30:35,2222,5000,0.9931674787783484
2026-06-08 02:30:35,2222,10000,0.9958497554736155
2026-06-08 02:30:35,2222,20000,0.9973675014022856
2026-06-08 02:30:35,2222,50000,0.9998412540149197
