rank,state_index,bitstring,target_prob,target_phase,model_phase,delta_phase
1,2,0010,0.25000000001951594,0.1258496060143903,0.16144394771474835,0.03559434170035791
2,4,0100,0.25000000000954803,0.27504847021032824,0.2668337028846531,-0.008214767325675165
3,8,1000,0.24999999998891909,-2.184668163873091,-2.2146554244608754,-0.029987260587784448
4,1,0001,0.24999999998201683,-1.0102571391087884,-1.0227008933557744,-0.01244375424698596
