timestamp,seed,samples,overlap
2026-06-08 01:18:00,2024,50,0.5973585609192196
2026-06-08 01:18:00,2024,100,0.6093564614583464
2026-06-08 01:18:00,2024,200,0.620263106996714
2026-06-08 01:18:00,2024,500,0.6398299318793998
2026-06-08 01:18:00,2024,1000,0.6872020464685296
2026-06-08 01:18:00,2024,2000,0.9104766090177274
2026-06-08 01:18:00,2024,5000,0.9945478866239238
2026-06-08 01:18:00,2024,10000,0.9977435434007325
2026-06-08 01:18:00,2024,20000,0.9995281084593363
2026-06-08 01:18:00,2024,50000,0.99703508958236
