delta,czz_diag,cxx_diag
2.999999999999999889e-01,9.395420838640560213e-01,1.988390978567082523e-02
3.586206896551724088e-01,9.122056489893649589e-01,2.899599999270984288e-02
4.172413793103448287e-01,8.780798575100519088e-01,4.050944989171782751e-02
4.758620689655171931e-01,8.353986159443304027e-01,5.515462814793434948e-02
5.344827586206896131e-01,7.821281793880813238e-01,7.384636678542945420e-02
5.931034482758620330e-01,7.172132290360440088e-01,9.726974291605332279e-02
6.517241379310344529e-01,6.425157257403445454e-01,1.251383791906570397e-01
7.103448275862068728e-01,5.636337602359590138e-01,1.557252788171840374e-01
7.689655172413792927e-01,4.877729172930729828e-01,1.864391814865527242e-01
8.275862068965516016e-01,4.203084092350244383e-01,2.150601944120304754e-01
8.862068965517240215e-01,3.633165735768815741e-01,2.404413648183875429e-01
9.448275862068964415e-01,3.164007041482005400e-01,2.623731884363983968e-01
1.003448275862068861e+00,2.780746799237985845e-01,2.811467347999103694e-01
1.062068965517241281e+00,2.466697356036625655e-01,2.972192623661169542e-01
1.120689655172413701e+00,2.207167774479865674e-01,3.110475303510776834e-01
1.179310344827586121e+00,1.990385685129287541e-01,3.230278720578365625e-01
1.237931034482758541e+00,1.807273607406300053e-01,3.334854106211615488e-01
1.296551724137930961e+00,1.650921278784528434e-01,3.426811647185885601e-01
1.355172413793103381e+00,1.516068616898686994e-01,3.508235580747780524e-01
1.413793103448275801e+00,1.398686162142819267e-01,3.580794242041677733e-01
1.472413793103448221e+00,1.295657882649407788e-01,3.645831346001464079e-01
1.531034482758620641e+00,1.204548082457012059e-01,3.704437650344907240e-01
1.589655172413793061e+00,1.123431670106212477e-01,3.757506003942233108e-01
1.648275862068965480e+00,1.050770491751702590e-01,3.805773361380486164e-01
1.706896551724137900e+00,9.853227123083956041e-02,3.849852890382134962e-01
1.765517241379310320e+00,9.260758554517728447e-02,3.890258636642834333e-01
1.824137931034482740e+00,8.721968450631306657e-02,3.927424608100440473e-01
1.882758620689655160e+00,8.229943498856090445e-02,3.961719661002023329e-01
1.941379310344827580e+00,7.778901093045632875e-02,3.993459208590837139e-01
2.000000000000000000e+00,7.363968779241758522e-02,4.022914507090274427e-01
