seed,n_samples,h,type,overlap
42,2000,1.000000e+00,support,9.993119e-01
42,2000,1.500000e+00,novel,9.978168e-01
42,2000,2.000000e+00,support,9.939414e-01
42,2000,2.500000e+00,novel,9.814842e-01
42,2000,2.800000e+00,novel,9.758030e-01
42,2000,3.000000e+00,support,9.747295e-01
42,2000,3.200000e+00,novel,9.752247e-01
42,2000,3.500000e+00,novel,9.772973e-01
42,2000,4.000000e+00,support,9.816846e-01
42,2000,4.500000e+00,novel,9.856522e-01
42,2000,5.000000e+00,support,9.886627e-01
42,2000,5.500000e+00,novel,9.907966e-01
42,2000,6.000000e+00,support,9.922470e-01
42,2000,7.000000e+00,support,9.937733e-01
42,5000,1.000000e+00,support,9.995193e-01
42,5000,1.500000e+00,novel,9.987292e-01
42,5000,2.000000e+00,support,9.973521e-01
42,5000,2.500000e+00,novel,9.930016e-01
42,5000,2.800000e+00,novel,9.907789e-01
42,5000,3.000000e+00,support,9.907590e-01
42,5000,3.200000e+00,novel,9.912761e-01
42,5000,3.500000e+00,novel,9.921887e-01
42,5000,4.000000e+00,support,9.937536e-01
42,5000,4.500000e+00,novel,9.948189e-01
42,5000,5.000000e+00,support,9.955606e-01
42,5000,5.500000e+00,novel,9.961285e-01
42,5000,6.000000e+00,support,9.965351e-01
42,5000,7.000000e+00,support,9.969710e-01
42,20000,1.000000e+00,support,9.996861e-01
42,20000,1.500000e+00,novel,9.993005e-01
42,20000,2.000000e+00,support,9.990065e-01
42,20000,2.500000e+00,novel,9.978924e-01
42,20000,2.800000e+00,novel,9.974862e-01
42,20000,3.000000e+00,support,9.977126e-01
42,20000,3.200000e+00,novel,9.978873e-01
42,20000,3.500000e+00,novel,9.980258e-01
42,20000,4.000000e+00,support,9.985091e-01
42,20000,4.500000e+00,novel,9.988145e-01
42,20000,5.000000e+00,support,9.989808e-01
42,20000,5.500000e+00,novel,9.990866e-01
42,20000,6.000000e+00,support,9.991357e-01
42,20000,7.000000e+00,support,9.990859e-01
