seed,n_samples,h,type,overlap
43,2000,1.000000e+00,support,9.991448e-01
43,2000,1.500000e+00,novel,9.973716e-01
43,2000,2.000000e+00,support,9.928725e-01
43,2000,2.500000e+00,novel,9.801916e-01
43,2000,2.800000e+00,novel,9.757521e-01
43,2000,3.000000e+00,support,9.756405e-01
43,2000,3.200000e+00,novel,9.770477e-01
43,2000,3.500000e+00,novel,9.799776e-01
43,2000,4.000000e+00,support,9.844667e-01
43,2000,4.500000e+00,novel,9.880956e-01
43,2000,5.000000e+00,support,9.908053e-01
43,2000,5.500000e+00,novel,9.926475e-01
43,2000,6.000000e+00,support,9.937966e-01
43,2000,7.000000e+00,support,9.947469e-01
43,5000,1.000000e+00,support,9.996622e-01
43,5000,1.500000e+00,novel,9.989825e-01
43,5000,2.000000e+00,support,9.977757e-01
43,5000,2.500000e+00,novel,9.937704e-01
43,5000,2.800000e+00,novel,9.912814e-01
43,5000,3.000000e+00,support,9.906921e-01
43,5000,3.200000e+00,novel,9.908387e-01
43,5000,3.500000e+00,novel,9.912527e-01
43,5000,4.000000e+00,support,9.921488e-01
43,5000,4.500000e+00,novel,9.935005e-01
43,5000,5.000000e+00,support,9.946560e-01
43,5000,5.500000e+00,novel,9.954505e-01
43,5000,6.000000e+00,support,9.959772e-01
43,5000,7.000000e+00,support,9.965613e-01
43,20000,1.000000e+00,support,9.997281e-01
43,20000,1.500000e+00,novel,9.993065e-01
43,20000,2.000000e+00,support,9.990350e-01
43,20000,2.500000e+00,novel,9.975271e-01
43,20000,2.800000e+00,novel,9.965231e-01
43,20000,3.000000e+00,support,9.970416e-01
43,20000,3.200000e+00,novel,9.977222e-01
43,20000,3.500000e+00,novel,9.982242e-01
43,20000,4.000000e+00,support,9.986633e-01
43,20000,4.500000e+00,novel,9.989554e-01
43,20000,5.000000e+00,support,9.991252e-01
43,20000,5.500000e+00,novel,9.992066e-01
43,20000,6.000000e+00,support,9.992380e-01
43,20000,7.000000e+00,support,9.992430e-01
