h,type,mag_z,mag_x
1.000000e+00,support,9.668750e-01,2.547559e-01
1.500000e+00,novel,9.288750e-01,3.684761e-01
1.800000e+00,novel,8.830000e-01,4.654620e-01
2.000000e+00,support,8.453750e-01,5.237046e-01
2.200000e+00,novel,7.890000e-01,6.054958e-01
2.400000e+00,novel,7.153750e-01,6.784695e-01
2.600000e+00,novel,6.238750e-01,7.592443e-01
2.800000e+00,novel,5.386250e-01,8.192937e-01
3.000000e+00,support,4.611250e-01,8.772105e-01
3.200000e+00,novel,4.170000e-01,9.046165e-01
3.400000e+00,novel,3.808750e-01,9.261347e-01
3.600000e+00,novel,3.490000e-01,9.389532e-01
3.800000e+00,novel,3.418750e-01,9.433991e-01
4.000000e+00,support,3.065000e-01,9.609610e-01
4.200000e+00,novel,2.786250e-01,9.699362e-01
4.500000e+00,novel,2.805000e-01,9.704471e-01
5.000000e+00,support,2.617500e-01,9.735264e-01
5.500000e+00,novel,2.667500e-01,9.787045e-01
6.000000e+00,support,2.473750e-01,9.827837e-01
6.500000e+00,novel,2.293750e-01,9.900683e-01
7.000000e+00,support,2.451250e-01,9.890386e-01
