h,type,mz,mx
1.000000,support,0.968500,0.248028
1.500000,novel,0.931550,0.360770
1.800000,novel,0.892187,0.445936
2.100000,support,0.824425,0.555779
2.400000,novel,0.729463,0.668983
2.600000,novel,0.651325,0.743345
2.800000,novel,0.572662,0.807353
2.900000,novel,0.527963,0.836470
3.000000,novel,0.490625,0.862023
3.100000,novel,0.457837,0.882368
3.300000,support,0.398887,0.913406
3.400000,novel,0.380175,0.924004
3.600000,novel,0.341375,0.943374
3.800000,novel,0.308637,0.955953
4.000000,novel,0.288225,0.964256
4.500000,novel,0.261337,0.974101
5.000000,novel,0.248963,0.979230
5.500000,novel,0.242612,0.983888
6.000000,novel,0.241825,0.985335
6.500000,novel,0.236487,0.988119
7.000000,support,0.241925,0.989017
