h,l1,l2,l3,l4,l5,l6,l7,l8
5.000000000000000000e-01,6.283844235126906375e-01,6.845205825544903311e-01,6.926736685752833411e-01,6.940962477509603490e-01,6.943689868918605512e-01,6.944243437930806007e-01,6.944359326044052816e-01,6.944379215049970577e-01
8.000000000000000444e-01,5.109819946263299828e-01,6.221122412800536017e-01,6.655033013106524953e-01,6.855524136748503139e-01,6.955543729223404581e-01,7.006611233145234596e-01,7.030992381536308455e-01,7.038226418780046956e-01
9.499999999999999556e-01,3.992780233872363915e-01,5.063347699935950574e-01,5.627061046020067625e-01,5.977236875245396375e-01,6.205292528826628073e-01,6.350345974965377893e-01,6.431418242237427751e-01,6.457544011586826560e-01
1.000000000000000000e+00,3.519793201430838625e-01,4.455344074911767316e-01,4.958876394833079404e-01,5.279382796562005487e-01,5.492644270258213446e-01,5.630584232217017426e-01,5.708565830566832977e-01,5.733840775299440251e-01
1.050000000000000044e+00,3.064744947335593106e-01,3.835754181963941245e-01,4.239642734371566468e-01,4.491844081908846209e-01,4.657284453562166027e-01,4.763202631162383738e-01,4.822683599029758406e-01,4.841898925582964197e-01
1.199999999999999956e+00,2.093529069816927601e-01,2.490112394849346988e-01,2.654184183199849723e-01,2.737768021703368970e-01,2.784164946307363664e-01,2.810320992861482514e-01,2.823805754863581985e-01,2.827979034381496448e-01
1.500000000000000000e+00,1.224846991782818778e-01,1.365952728060548238e-01,1.401795447422948537e-01,1.413117868020867529e-01,1.417127849221848923e-01,1.418657430061772695e-01,1.419245861703822831e-01,1.419401425693029295e-01
