timestamp,seed,samples,overlap
2026-06-07 20:09:31,1234,50,0.5573594618952037
2026-06-07 20:09:31,1234,100,0.5827899479713087
2026-06-07 20:09:31,1234,200,0.5908158573233364
2026-06-07 20:09:31,1234,500,0.6017658520567161
2026-06-07 20:09:31,1234,1000,0.6085832250268638
2026-06-07 20:09:31,1234,2000,0.6152075925746597
2026-06-07 20:09:31,1234,5000,0.7116173115382713
2026-06-07 20:09:31,1234,10000,0.9801760057980142
2026-06-07 20:09:31,1234,20000,0.9996231167298627
2026-06-07 20:09:31,1234,50000,0.9961925217074211
