h,l1,l2,l3,l4,l5,l6,l7,l8
5.000000e-01,6.283844e-01,6.845206e-01,6.926737e-01,6.940962e-01,6.943690e-01,6.944243e-01,6.944359e-01,6.944379e-01
8.000000e-01,5.109820e-01,6.221122e-01,6.655033e-01,6.855524e-01,6.955544e-01,7.006611e-01,7.030992e-01,7.038226e-01
9.500000e-01,3.992780e-01,5.063348e-01,5.627061e-01,5.977237e-01,6.205293e-01,6.350346e-01,6.431418e-01,6.457544e-01
1.000000e+00,3.519793e-01,4.455344e-01,4.958876e-01,5.279383e-01,5.492644e-01,5.630584e-01,5.708566e-01,5.733841e-01
1.050000e+00,3.064745e-01,3.835754e-01,4.239643e-01,4.491844e-01,4.657284e-01,4.763203e-01,4.822684e-01,4.841899e-01
1.200000e+00,2.093529e-01,2.490112e-01,2.654184e-01,2.737768e-01,2.784165e-01,2.810321e-01,2.823806e-01,2.827979e-01
1.500000e+00,1.224847e-01,1.365953e-01,1.401795e-01,1.413118e-01,1.417128e-01,1.418657e-01,1.419246e-01,1.419401e-01
