h,type,mz,mx
1.000000,support,0.965950,0.258165
1.500000,novel,0.937800,0.340895
2.000000,support,0.831200,0.545895
2.400000,novel,0.708025,0.688327
2.600000,novel,0.616900,0.768921
2.800000,support,0.531712,0.833622
2.900000,novel,0.495175,0.859221
3.000000,support,0.459550,0.879672
3.100000,novel,0.421725,0.903544
3.200000,novel,0.404837,0.913090
3.300000,support,0.382225,0.925559
3.400000,novel,0.363375,0.934199
3.600000,support,0.340012,0.946248
3.800000,novel,0.313587,0.958370
4.000000,support,0.305725,0.961434
4.500000,novel,0.277175,0.972049
5.000000,support,0.267850,0.975371
5.500000,novel,0.256275,0.978981
6.000000,support,0.248900,0.983210
6.500000,novel,0.241975,0.987685
7.000000,support,0.236000,0.988733
