h,l,type,s2,s2_err
1.100000e+00,2,novel,3.420105e-01,8.793264e-03
1.100000e+00,3,novel,3.713751e-01,2.321114e-03
1.100000e+00,4,novel,3.930597e-01,2.162515e-03
1.100000e+00,5,novel,4.057131e-01,4.505010e-03
1.100000e+00,6,novel,4.079914e-01,8.835891e-03
1.100000e+00,7,novel,4.181080e-01,1.828351e-02
1.100000e+00,8,novel,4.154568e-01,9.417394e-03
1.150000e+00,1,novel,2.402172e-01,4.228745e-03
1.150000e+00,2,novel,2.878475e-01,4.484954e-03
1.150000e+00,3,novel,3.055820e-01,1.514504e-02
1.150000e+00,4,novel,3.192511e-01,1.319161e-02
1.150000e+00,5,novel,3.406134e-01,1.619182e-03
1.150000e+00,6,novel,3.468866e-01,4.124424e-03
1.150000e+00,7,novel,3.476620e-01,1.034391e-02
1.150000e+00,8,novel,3.551960e-01,2.775295e-03
1.200000e+00,1,support,2.036753e-01,5.381419e-03
1.200000e+00,2,support,2.603245e-01,6.581043e-03
1.200000e+00,3,support,2.682419e-01,7.548168e-03
1.200000e+00,4,support,2.776699e-01,3.657897e-03
1.200000e+00,5,support,2.827997e-01,5.326825e-03
1.200000e+00,6,support,2.909441e-01,7.921402e-03
1.200000e+00,7,support,2.879982e-01,8.031338e-03
1.200000e+00,8,support,2.761955e-01,2.231338e-03
1.250000e+00,1,novel,1.798687e-01,1.006936e-02
1.250000e+00,2,novel,2.306299e-01,7.043226e-03
1.250000e+00,3,novel,2.445831e-01,1.133112e-02
1.250000e+00,4,novel,2.354536e-01,3.424675e-03
1.250000e+00,5,novel,2.474422e-01,1.295485e-03
1.250000e+00,6,novel,2.473526e-01,4.383407e-03
1.250000e+00,7,novel,2.481327e-01,5.310296e-03
1.250000e+00,8,novel,2.528067e-01,4.847628e-03
1.300000e+00,1,novel,1.561260e-01,4.778323e-03
1.300000e+00,2,novel,1.973019e-01,5.915182e-03
1.300000e+00,3,novel,2.046375e-01,7.345380e-04
1.300000e+00,4,novel,2.146606e-01,9.352386e-03
1.300000e+00,5,novel,2.174025e-01,6.019735e-03
1.300000e+00,6,novel,2.071514e-01,5.640548e-03
1.300000e+00,7,novel,2.126236e-01,3.395163e-03
1.300000e+00,8,novel,2.086773e-01,4.887610e-03
1.350000e+00,1,novel,1.503420e-01,5.398661e-03
1.350000e+00,2,novel,1.730137e-01,7.089351e-03
1.350000e+00,3,novel,1.911221e-01,7.229345e-03
1.350000e+00,4,novel,1.765804e-01,8.759968e-03
1.350000e+00,5,novel,1.789932e-01,1.093807e-02
1.350000e+00,6,novel,1.812019e-01,5.963518e-03
1.350000e+00,7,novel,1.781693e-01,1.375580e-02
1.350000e+00,8,novel,1.782169e-01,1.103250e-02
1.400000e+00,1,novel,1.411753e-01,2.827549e-03
1.400000e+00,2,novel,1.732254e-01,7.487064e-03
1.400000e+00,3,novel,1.689568e-01,7.068474e-03
1.400000e+00,4,novel,1.655502e-01,5.726036e-03
1.400000e+00,5,novel,1.708717e-01,3.351950e-03
1.400000e+00,6,novel,1.755466e-01,4.130039e-03
1.400000e+00,7,novel,1.714706e-01,4.613786e-03
1.400000e+00,8,novel,1.709232e-01,4.196036e-03
1.450000e+00,1,novel,1.201534e-01,4.647109e-03
1.450000e+00,2,novel,1.512518e-01,3.281196e-03
1.450000e+00,3,novel,1.572704e-01,3.794509e-03
1.450000e+00,4,novel,1.491699e-01,9.602952e-04
1.450000e+00,5,novel,1.543503e-01,3.975068e-03
1.450000e+00,6,novel,1.558113e-01,4.354224e-03
1.450000e+00,7,novel,1.593990e-01,3.251069e-03
1.450000e+00,8,novel,1.571846e-01,3.598912e-03
1.500000e+00,1,support,1.243134e-01,1.635267e-03
1.500000e+00,2,support,1.426058e-01,2.067975e-03
1.500000e+00,3,support,1.435852e-01,7.244601e-03
1.500000e+00,4,support,1.406441e-01,3.866151e-03
1.500000e+00,5,support,1.434479e-01,2.287757e-03
1.500000e+00,6,support,1.439552e-01,1.777270e-03
1.500000e+00,7,support,1.465397e-01,2.930357e-03
1.500000e+00,8,support,1.488829e-01,5.010049e-03
